word;morpheme;propper/common;order;previous letter;gender
Мишутка;к;propper;second;т;m
Дашутка;ут;propper;first;ш;f
Дашутка;к;propper;second;т;f
Темочка;очк;propper;first;м;m
Пашка;к;propper;first;ш;m
Витька;к;propper;first;т;m
Толька;к;propper;first;л;m
Димка;к;propper;first;м;m
Антошка;к;propper;first;ш;m
Антошенька;еньк;propper;first;ш;m
Людаша;аш;propper;first;д;f
Павлик;ик;propper;first;л;m
Павлуша;уш;propper;first;л;m
Павлуня;ун;propper;first;л;m
Маруся;ус;propper;first;р;f
Маруня;ун;propper;first;р;f
Марьяша;яш;propper;first;р;f
Марюня;юн;propper;first;р;f
Марюша;юш;propper;first;р;f
Марьюшка;юшк;propper;first;р;f
бравика;ик;common;first;в;m
муданьцзянки;к;common;first;н;f
ущербище;ищ;common;first;б;m
хелушки;ушк;common;first;л;f
ботаньчик;чик;common;first;н;m
знашечку;ечк;common;first;ш;f
овашкой;ашк;common;first;в;f
лифака;ак;common;first;ф;m
кудяблик;ик;common;first;л;m
Машка;к;propper;first;ш;f
Машенька;еньк;propper;first;ш;f
Машуня;ун;propper;first;ш;f
Машута;ут;propper;first;ш;f
Машуля;ул;propper;first;ш;f
Манечка;ечк;propper;first;н;f
Манюся;юс;propper;first;н;f
Маняша;яш;propper;first;н;f
Максимец;ец;propper;first;м;m
Тимоха;ох;propper;first;м;m
Лисёнок;ёнок;propper;first;с;f
Женечка;ечк;propper;first;н;c
Женька;к;propper;first;н;c
Танюха;юх;propper;first;н;f
Илюха;юх;propper;first;л;m
Илюша;юш;propper;first;л;m
Юрочка;очк;propper;first;р;m
Любочка;очк;propper;first;б;f
Мишенька;еньк;propper;first;ш;m
Наташка;к;propper;first;ш;f
Гришка;к;propper;first;ш;m
Васька;к;propper;first;с;m
Галка;к;propper;first;л;f
Колька;к;propper;first;л;m
Катёнок;ёнок;propper;first;т;f
Кларёныш;ёныш;propper;first;р;f
Андрюша;юш;propper;first;р;m
Санёк;ёк;propper;first;н;m
Сашенька;еньк;propper;first;ш;c
Сашка;к;propper;first;ш;c
Шурик;ик;propper;first;р;m
дороженька;еньк;common;first;ж;f
березонька;оньк;common;first;з;f
лошадёнка;ёнк;common;first;д;f
книжонка;онк;common;first;ж;f
зеркальце;ц;common;first;л;n
старикашка;ашк;common;first;к;m
домина;ин;common;first;м;m
голосище;ищ;common;first;с;m
морозец;ец;common;first;з;m
билетик;ик;common;first;т;m
букетик;ик;common;first;т;m
дружок;ок;common;first;ж;m
снежок;ок;common;first;ж;m
моторчик;чик;common;first;р;m
карманчик;чик;common;first;н;m
водица;иц;common;first;д;f
лужица;иц;common;first;ж;f
головка;к;common;first;в;f
ночка;к;common;first;ч;f
пылинка;инк;common;first;л;f
росинка;инк;common;first;с;f
звездочка;очк;common;first;д;f
мордочка;очк;common;first;д;f
листочек;очек;common;first;т;m
семечко;ечк;common;first;м;n
Маруха;ух;propper;first;р;f
Ванюха;юх;propper;first;н;m
дедушка;ушк;common;first;д;m
волюшка;юшк;common;first;л;f
домишко;ишк;common;first;м;m
воробушек;ушек;common;first;б;m
колышек;ышек;common;first;л;m
доченька;еньк;common;first;ч;f
утречко;ечк;common;first;р;n
дедуля;ул;common;first;д;m
мальчичек;ичек;common;first;ч;m
сундучок;ок;common;first;ч;m
бородёнкой;ёнк;common;first;д;f
деньжонки;онк;common;first;ж;f
портсигарчик;чик;common;first;р;m
мужички;ич;common;first;ж;m
мужички;к;common;second;ч;m
ножки;к;common;first;ж;f
ручки;к;common;first;ч;f
тигрёнок;ёнок;common;first;р;m
поварёнок;ёнок;common;first;р;m
львёнок;ёнок;common;first;в;m
мышонок;онок;common;first;ш;m
котёнок;ёнок;common;first;т;m
днюхой;юх;common;first;н;f
бесталковка;к;common;second;в;f
фотосетище;ищ;common;first;т;m
наждачок;ок;common;first;ч;m
ляблик;ик;common;first;л;m
панечку;ечк;common;first;н;f
артемидку;к;common;first;д;f
интереснысайтик;ик;common;first;т;m
тумбарарайки;к;common;first;й;f
ксилофонщик;щик;common;first;н;m
однушках;к;common;first;ш;f
медвежонок ;онок;common;first;ж;m
конурку;к;common;first;р;f
блошку ;к;common;first;ш;f
орешек;ек;common;first;ш;m
ключик;ик;common;first;ч;m
ребятками;к;common;first;т;m
речку;к;common;first;ч;f
Cветик;ик;propper;first;т;f
соколик;ик;common;first;л;m
бережку;к;common;first;ж;m
шапонька;оньк;common;first;п;f
иудушки;ушк;common;first;д;m
кровопивушки;ушк;common;first;в;c
маменьке;еньк;common;first;м;f
плечико;ик;common;first;ч;n
уголок;ок;common;first;л;m
ворюга;юг;common;first;р;c
гадюга;юг;common;first;д;c
жадюга;юг;common;first;д;c
змеюга;юг;common;first;е;c
бандюга;юг;common;first;д;c
аферюга;юг;common;first;р;c
зверюга;юг;common;first;р;c
трудяга;яг;common;first;д;c
работяга;яг;common;first;т;c
умняга;яг;common;first;н;c
миляга;яг;common;first;л;c
крутяга;яг;common;first;т;c
милёночек;ёноч;common;first;л;m
милёночек;ек;common;second;ч;m
бабулька;уль;common;first;б;f
бабулька;ка;common;second;л;f
бабулечка;ул;common;first;б;f
бабулечка;ечк;common;second;л;f
маманя;ан;common;first;м;f
маманечка;ан;common;first;м;f
маманечка;ечк;common;second;н;f
девоня;он;common;first;в;f
девонька;оньк;common;first;в;f
Сашунечка;ун;propper;first;ш;n
Сашунечка;ечк;propper;second;н;n
папашенька;аш;common;first;п;m
папашенька;еньк;common;second;ш;m
папашка;аш;common;first;п;m
папашка;к;common;second;ш;m
Любашенька;аш;propper;first;б;f
Любашенька;еньк;propper;second;ш;f
Любаха;ах;propper;first;б;f
Любаша;аш;propper;first;б;f
мамаша;аш;common;first;м;f
бабусечка;ус;common;first;б;f
бабусечка;ечк;common;second;с;f
девчоночка;оноч;common;first;ч;f
девчоночка;к;common;second;ч;f
Любашечка;аш;propper;first;б;f
Любашечка;ечк;propper;second;ш;f
печурочка;уроч;common;first;ч;f
печурочка;к;common;second;ч;f
бабёшка;ёш;common;first;б;f
бабёшка;к;common;second;ш;f
бабёшечка;ёш;common;first;б;f
бабёшечка;ечк;common;second;ш;f
штанишечки;ишеч;common;first;н;pl
штанишечки;к;common;second;ч;pl
мальчишечка;ишеч;common;first;ч;m
мальчишечка;к;common;second;ч;m
домушечка;ушеч;common;first;м;m
домушечка;к;common;second;ч;m
девчушечка;ушеч;common;first;ч;f
девчушечка;к;common;second;ч;f
малышок;ыш;common;first;л;m
малышок;ок;common;second;ш;m
детёныш;ёныш;common;first;т;m
косичка;ичк;common;first;с;f
водичка;ичк;common;first;д;f
здоровьице;иц;common;first;в;n
здоровьичко;ичк;common;first;в;n
маслице;иц;common;first;л;n
масличко;ичк;common;first;л;n
словечко;ечк;common;first;в;n
сердечко;ечк;common;first;д;n
пальчик;чик;common;first;л;m
супчик;чик;common;first;п;m
огурчик;чик;common;first;р;m
дождичек;ич;common;first;д;m
дождичек;ек;common;second;ч;m
ножичек;ич;common;first;ж;m
ножичек;ек;common;second;ч;m
смайличек;ич;common;first;л;m
смайличек;ек;common;second;ч;m
видос;ос;common;first;д;m
видосик;ос;common;first;д;m
видосик;ик;common;second;с;m
мемасы;ас;common;first;м;m
мемасики;ас;common;first;м;m
мемасики;ик;common;second;с;m
пивас;ас;common;first;в;m
пивасик;ас;common;first;в;m
пивасик;ик;common;second;с;m
Никитос;ос;propper;first;т;m
Никитосик;ос;propper;first;т;m
Никитосик;ик;propper;second;с;m
митингосик;ос;common;first;г;m
митингосик;ик;common;second;с;m
проекторосик;ос;common;first;р;m
проекторосик;ик;common;second;с;m
Натулик;ул;propper;first;т;f
Натулик;ик;propper;second;л;f
Лидусик;ус;propper;first;д;f
Лидусик;ик;propper;second;с;f
Юрасик;ас;propper;first;р;m
Юрасик;ик;propper;second;с;m
мамусик;ус;common;first;м;f
мамусик;ик;common;second;с;f
снулики;ул;common;first;н;m
снулики;ик;common;second;л;m
супец;ец;common;first;п;m
мужичок;ич;common;first;ж;m
мужичок;ок;common;second;ч;m
входнячок;яч;common;first;н;m
входнячок;ок;common;second;ч;m
стержнюшки;юшк;common;first;н;m
йодомаринчику;чик;common;first;н;m
рыковка;к;common;second;в;f
ганюша;юш;common;first;н;f
телекиношников;шник;common;first;о;m
школик;ик;common;first;л;m
Калмашка;к;common;first;ш;f
проходочками;очк;common;first;д;f
тварюжка;южк;common;first;р;f
лапужка;ушк;common;first;п;f
элитко;к;common;first;т;f
клунок;ок;common;first;н;m
хахохухи;ух;common;first;х;f
туфлят;ят;common;first;л;m
крупнячком;ячк;common;first;н;m
сплетнички;ичк;common;second;н;m
глухотня;отн;common;first;х;f
пятистенкой;к;common;first;н;f
герыч;ыч;common;first;р;m
фотодразнилка;лк;common;second;л;f
мудоёбки;к;common;first;б;m
качельки;к;common;second;л;pl
комсюки;юк;common;first;с;m
машинко;к;common;first;н;f
кухликом;ик;common;first;л;m
пагранцы;ц;common;first;н;m
бедина;ин;common;first;д;f
фельшерицы;иц;common;first;р;f
смаглик;ик;common;first;л;m
ниндзюха;юх;common;first;з;m
кесонка;к;common;first;н;f
стиксянам;ян;common;first;с;m
свечкодракончиков;чик;common;first;н;m
дейвичка;ичк;common;first;в;f
матютя;ют;common;first;т;f
криволапках;к;common;first;п;f
юняша;яш;common;first;н;f
нюхачек;ач;common;first;х;f
нюхачек;ек;common;first;ч;f
клинтиха;их;common;first;т;f
печененьки;ен;common;first;ч;f
печененьки;еньк;common;second;н;f
микроволновочке;очк;common;second;в;f
фечкой;к;common;first;ч;f
выебонинкой;ин;common;second;н;f
выебонинкой;к;common;third;н;f
провтики;ик;common;first;т;m
псориазницами;иц;common;second;н;f
кисусь;усь;common;first;с;f
двдшкой;шк;common;first;д;f
Анушкай;ушк;propper;first;н;f
колькольчик;чик;common;first;л;m
полуторолеткой;к;common;first;т;f
банчара;ар;common;first;ч;m
росиянцем;ц;common;second;н;m
сестробратцы;ц;common;first;т;m
птэнчег;чик;common;first;н;m
пчолку;к;common;first;л;f
Коношки;к;propper;first;ш;f
купюрник;ник;common;first;р;m
кокашко;ашк;common;first;к;f
двухскатки;к;common;first;т;f
пригладки;к;common;first;д;f
секретарёныши;ёныш;common;first;р;m
мелочёвочки;ёвоч;common;first;ч;f
мелочёвочки;к;common;second;ч;f
девашкой;ашк;common;first;в;f
тюленик;ик;common;first;н;m
пиндоска;к;common;first;с;f
глистовуха;ух;common;second;в;f
обойчик;чик;common;first;й;m
баблки;к;common;first;л;f
релюха;юх;common;first;л;f
упрямочку;очк;common;first;м;f
микробасик;ас;common;first;б;m
микробасик;ик;common;second;с;m
трушника;шник;common;first;у;m
дофигищей;ищ;common;first;г;f
тунтунколка;лк;common;second;о;f
июльки;к;common;first;л;f
растегайчик;чик;common;first;й;m
пушынку;инк;common;first;ш;f
мышаты;ат;common;first;ш;m
брютка;к;common;first;т;f
филипки;к;common;first;п;m
богданки;к;common;first;н;f
дудичке;ичк;common;first;д;f
минутчку;очк;common;first;т;f
политрушку;ушк;common;first;р;f
маричку;ичк;common;first;р;f
собачундру;ун;common;first;ч;f
собачундру;др;common;second;н;f
саечке;ечк;common;first;а;f
пышечке;ечк;common;first;ш;f
грачонок;онок;common;first;ч;m
холодищи;ищ;common;first;д;f
пучок;ок;common;first;ч;m
просрочку;к;common;first;ч;f
погодкам;к;common;first;д;f
ларчик;чик;common;first;р;m
пузанчике;ан;common;first;з;m
пузанчике;чик;common;second;н;m
папушу;уш;common;first;п;m
лампочке;очк;common;first;п;f
вешкам;к;common;first;ш;f
трофики;ик;common;first;ф;m
господинчики;чик;common;second;н;m
иголки;к;common;first;л;f
бочонкам;онк;common;first;ч;m
желтинке;инк;common;first;т;f
коловраткам;к;common;first;т;f
нолику;ик;common;first;л;m
свистулек;ул;common;first;т;f
свистулек;ек;common;first;л;f
шаромыжки;к;common;first;ж;f
малинок;ок;common;first;н;f
язычки;к;common;first;ч;m
ободранец;ец;common;first;н;m
дописку;к;common;first;с;f
ключика;ик;common;first;ч;m
магнитики;ик;common;first;т;m
подвальчике;чик;common;first;л;m
цуциков;ик;common;first;ц;m
пустошовкой;к;common;first;в;f
сударку;к;common;first;р;f
задоринкой;инк;common;first;р;f
козырёк;ёк;common;first;р;m
похулках;к;common;first;л;f
Вадик;ик;propper;first;д;m
тычинка;к;common;second;н;f
сосунок;ок;common;second;н;m
котёнку;ёнк;common;first;т;m
яблонькою;оньк;common;first;о;f
зайчишка;ишк;common;first;ч;m
слоечках;ечк;common;first;о;f
курьерушка;ушк;common;first;р;m
головища;ищ;common;first;в;f
голосень;ень;common;first;с;m
попыточку;очк;common;first;т;f
перчонок;онок;common;first;ч;m
тролёнок;ёнок;common;first;л;m
тятенько;еньк;common;first;т;m
аромалампушечки;уш;common;first;п;f
аромалампушечки;ечк;common;second;ш;f
рамочкам;очк;common;first;м;f
фотоподборочка;очк;common;first;р;f
хуевищина;ищ;common;first;в;f
Маргошечка;ош;propper;first;г;f
Маргошечка;ечк;propper;second;ш;f
вреднюшка;юшк;common;second;н;f
лякалку;лк;common;first;а;f
крысуня;ун;common;first;с;f
врачилла;илл;common;first;ч;m
плошечкам;ечк;common;first;ш;f
